karmn,Name,RAJ2000,DEJ2000,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J00051+457,GJ 2,1.3009212651,45.78589435046,3780,34,40,4.7,0.04,0.01,0.03,0.04,0.06,3.19,0.16,0.48
J00067-075,GJ 1002,1.67635042594,-7.54647532526,3073,27,18,5.1,0.09,0.04,0.06,0.15,0.08,3.02,0.66,0.33
J00162+198E,LP 404-062,4.07065062194,19.86069229774,3362,25,34,4.9,0.06,0.02,0.07,0.17,0.02,2.13,0.22,0.3
J00183+440,GX And,4.61322625756,44.02478674399,3709,43,15,4.8,0.07,0.03,-0.33,0.17,0.06,2.02,0.3,0.2
J00184+440,GQ And,4.62530068122,44.02874451664,3251,13,36,4.96,0.03,0.05,-0.2,0.1,0.09,2.82,0.24,0.22
J00286-066,GJ 1012,7.16297021421,-6.66721925319,3481,23,35,4.79,0.03,0.08,0.02,0.14,0.03,1.82,0.26,0.43
J00389+306,Wolf 1056,9.75406376462,30.61633814604,3621,40,15,4.74,0.03,0.07,-0.14,0.09,0.07,2.39,0.25,0.19
J00570+450,G 172-030,14.2651559511,45.08575010285,3412,22,29,4.87,0.06,0.03,-0.04,0.11,0.04,2.71,0.18,0.24
J01013+613,GJ 47,15.3369003106,61.362137735,3568,43,15,4.79,0.02,0.06,-0.2,0.06,0.08,2.93,0.19,0.28
J01025+716,BD+70 68,15.6590118756,71.67812049454,3715,45,19,4.71,0.03,0.03,-0.0,0.08,0.06,1.99,0.35,0.32
J01026+623,BD+61 195,15.66895082068,62.34545122289,3764,34,46,4.69,0.02,0.03,0.11,0.02,0.07,3.7,0.15,0.43
J01048-181,GJ 1028,16.23022246918,-18.12244895479,3142,33,12,5.05,0.08,0.04,0.04,0.1,0.12,2.28,0.48,0.36
J01125-169,YZ Cet,18.13325425371,-16.99615487248,3137,28,18,5.02,0.03,0.07,-0.17,0.11,0.16,4.54,0.35,0.22
J01339-176,LP 768-113,23.49187379987,-17.64077346314,3268,15,25,4.89,0.01,0.07,-0.07,0.13,0.07,4.82,0.35,0.26
J01433+043,GJ 70,25.83219667036,4.31825535643,3569,40,16,4.78,0.03,0.07,-0.14,0.07,0.07,2.85,0.15,0.23
J01518+644,G 244-037,27.96550010712,64.4341179615,3606,14,47,4.72,0.02,0.05,0.02,0.05,0.04,3.02,0.15,0.33
J02002+130,TZ Ari,30.05898704765,13.04407120112,3120,27,20,5.02,0.04,0.05,-0.08,0.18,0.11,5.68,0.38,0.2
J02015+637,G 244-047,30.39465528965,63.76957862948,3562,40,14,4.75,0.03,0.07,-0.02,0.11,0.04,2.34,0.14,0.26
J02070+496,G 173-037,31.76767495537,49.64350411033,3375,10,50,4.91,0.07,0.01,-0.12,0.07,0.08,3.89,0.3,0.19
J02088+494,G 173-039,32.22505236302,49.44771631278,3229,16,45,4.85,0.02,0.04,0.04,0.06,0.09,28.55,0.54,1.08
J02123+035,BD+02 348,33.07959930325,3.56738515497,3950,72,28,4.73,0.07,0.02,-0.35,0.1,0.12,1.47,0.14,0.2
J02222+478,BD+47 612,35.56244783525,47.88021328768,3977,49,47,4.67,0.03,0.03,0.08,0.08,0.06,2.68,0.34,0.39
J02336+249,GJ 102,38.40513666109,24.92413187712,3185,18,24,4.96,0.03,0.08,-0.03,0.4,0.09,5.99,0.37,0.28
J02358+202,BD+19 381,38.97329569549,20.21926027726,3666,8,55,4.7,0.02,0.04,0.06,0.04,0.04,2.96,0.11,0.41
J02362+068,BX Cet,39.07167733324,6.87808989817,3402,26,38,4.87,0.06,0.04,0.03,0.16,0.02,2.11,0.2,0.32
J02442+255,VX Ari,41.06888178038,25.52175109435,3476,36,17,4.82,0.03,0.06,-0.13,0.11,0.05,2.41,0.23,0.23
J02519+224,RBS 365,42.97593728423,22.45782391609,3203,20,37,4.85,0.03,0.04,0.1,0.1,0.03,30.14,0.94,0.33
J02565+554W,Ross 364,44.14913665815,55.43522737414,4093,62,55,4.67,0.05,0.04,0.04,0.11,0.12,1.51,0.1,0.52
J03133+047,CD Cet,48.35325823821,4.77520017099,3168,35,15,5.01,0.08,0.05,0.07,0.12,0.12,2.02,0.32,0.41
J03181+382,HD 275122,49.53369363538,38.24952141692,3873,22,70,4.67,0.02,0.03,0.17,0.1,0.06,2.56,0.31,0.41
J03213+799,GJ 133,50.35121497817,79.9685443981,3644,42,14,4.74,0.03,0.07,-0.19,0.05,0.09,2.78,0.23,0.21
J03217-066,G 077-046,50.4469609119,-6.67360462856,3604,10,53,4.72,0.02,0.05,0.04,0.04,0.04,3.82,0.18,0.32
J03463+262,HD 23453,56.58583316845,26.21463311223,4035,49,55,4.67,0.02,0.04,0.16,0.14,0.06,3.03,0.36,0.39
J03473-019,G 080-021,56.84805849384,-1.97342558103,3433,28,37,4.8,0.03,0.07,0.06,0.15,0.06,10.23,0.72,0.12
J03531+625,Ross 567,58.29378718241,62.56771136911,3582,42,19,4.8,0.03,0.07,-0.2,0.11,0.06,2.28,0.22,0.19
J04153-076,omi02 Eri C,63.82965602087,-7.67090338261,3340,19,46,4.89,0.03,0.09,0.02,0.41,0.05,7.06,0.41,0.27
J04225+105,LSPM J0422+1031,65.63439108319,10.52203303307,3509,27,25,4.74,0.03,0.04,0.06,0.06,0.04,2.12,0.22,0.33
J04290+219,BD+21 652,67.25019487313,21.92347532672,4285,87,40,4.66,0.05,0.04,0.2,0.39,0.07,2.91,0.79,0.31
J04311+589,STN 2051A,67.80919062833,58.96797997155,3312,27,29,4.89,0.07,0.02,0.09,0.15,0.02,2.09,0.38,0.28
J04376+528,BD+52 857,69.42278387138,52.89150297231,4148,63,41,4.66,0.02,0.04,-0.05,0.08,0.09,2.8,0.38,0.41
J04376-110,BD-11 916,69.42341319622,-11.03975218735,3674,43,12,4.72,0.02,0.06,-0.08,0.06,0.08,2.6,0.21,0.26
J04429+189,HD 285968,70.73548173808,18.95320292639,3642,6,56,4.72,0.03,0.04,0.01,0.06,0.05,2.91,0.11,0.37
J04429+214,2MASS J04425586+2128230,70.73293563415,21.47356618654,3429,21,33,4.85,0.08,0.02,0.01,0.09,0.03,2.7,0.15,0.24
J04520+064,Wolf 1539,73.02457095864,6.47519220607,3378,26,30,4.86,0.07,0.02,0.06,0.11,0.02,2.49,0.19,0.25
J04538-177,GJ 180,73.4601565715,-17.776283503,3664,47,13,4.77,0.04,0.06,-0.31,0.06,0.12,2.28,0.26,0.2
J04588+498,BD+49 1280,74.71150190902,49.84878426248,4080,57,55,4.66,0.03,0.03,0.17,0.18,0.06,3.16,0.53,0.23
J05019+011,1RXS J050156.7+010845,75.48623384039,1.14484712281,3231,26,25,4.91,0.06,0.03,0.06,0.27,0.05,10.06,0.43,0.29
J05019-069,LP 656-038,75.48680521252,-6.94858740903,3180,19,19,4.99,0.04,0.07,-0.14,0.13,0.14,4.05,0.29,0.21
J05033-173,LP 776-049,75.83262223514,-17.37551008567,3404,26,24,4.89,0.06,0.03,-0.22,0.08,0.08,2.54,0.27,0.2
J05062+046,RX J0506.2+0439,76.55399399668,4.65715172757,3170,22,34,4.86,0.03,0.05,0.17,0.12,0.04,29.81,0.32,0.5
J05127+196,GJ 192,78.17726253072,19.66672536075,3636,40,14,4.72,0.02,0.07,-0.12,0.09,0.07,2.41,0.24,0.23
J05280+096,Ross 41,81.99976842562,9.64056849358,3380,27,26,4.91,0.05,0.03,-0.13,0.11,0.09,2.23,0.28,0.27
J05314-036,HD 36395,82.86754111476,-3.68652760191,3905,39,61,4.67,0.03,0.04,0.25,0.17,0.06,2.73,0.31,0.39
J05337+019,V371 Ori,83.43563711933,1.94471918151,3353,11,61,4.78,0.03,0.02,0.06,0.02,0.09,15.0,0.42,0.32
J05348+138,Ross 46,83.71660430394,13.87787924781,3411,21,33,4.85,0.05,0.04,-0.03,0.12,0.04,2.36,0.21,0.27
J05360-076,Wolf 1457,84.00082080162,-7.64749055072,3352,16,40,4.85,0.07,0.02,0.11,0.14,0.02,1.53,0.05,0.54
