#RA,DEC,gaia_source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmtot,ruwe,Gmag,RPmag,rmag_jplus,zmag_jplus,method,Teff,reported_UCD,sp_type_simbad,ph_type_ahmed,sp_type_panstarrs,ph_type_reyle,sp_type_smart,sp_type_zhang2009,sp_type_zhang2010,sp_type_schmidt,ph_type_skrzypek
186.89552,20.14359,3.94903911946871E+018,8.6488,0.4821,-61.554,0.509,0.514,0.431,61.556,1.101,19.593624,18.12965,21.476,18.051,par+diag,2800,1,M8V,,,,,,,,
187.27794,20.342405,3.94906825652621E+018,5.0035,0.9324,-43.392,1.386,-43.142,1.094,61.189,1.082,20.490139,18.95518,21.718,18.899,par+diag,2800,0,,,,,,,,,
187.39934,20.477242,3.9494460117846E+018,9.759,0.499,-106.518,0.398,21.894,0.527,108.745,1.121,19.349041,17.86589,21.187,17.778,par+diag,2800,0,,,,,,,,,
187.06087,20.886776,3.95247499022577E+018,3.3496,1.8365,-56.924,2.172,28.305,1.808,63.573,1.099,20.78565,19.39193,,19.219309,pm,2900,0,,,,,,,,,
187.80783,20.746628,3.94943384414278E+018,10.1603,0.2761,8.441,0.263,-1.446,0.238,8.564,1.158,18.998888,17.547852,20.759,17.511,par+diag,2900,1,,,,M7,,,,,
173.46115,24.17399,3.99316269288962E+018,6.9245,0.8096,-64.927,0.944,-0.767,0.983,64.932,1.024,20.222141,18.713026,,18.666101,par,2900,0,,,,,,,,,
193.80473,21.527838,3.94286020771816E+018,4.4528,0.8571,-27.042,0.836,-0.487,0.895,27.046,1.039,20.380348,18.951757,,18.83887,par,2900,0,,,,,,,,,
173.00099,24.511332,3.99314272988186E+018,13.4299,0.1531,-62.083,0.177,0.355,0.139,62.084,1.086,17.721521,16.257427,19.831,16.158,par+diag,2900,0,,,,,,,,,
194.06972,21.519022,3.94286838962989E+018,5.6381,0.4658,12.809,0.504,-27.326,0.478,30.179,1.059,19.760508,18.334883,21.374,18.144,par+diag,2900,0,M6V,,,,,,,,
193.90358,21.740429,3.94289068480572E+018,4.6502,1.5198,-10.398,1.076,-8.684,1.296,13.547,1.075,20.854927,19.471548,22.09,19.198,pm+diag,2900,0,,,,,,,,,
172.98,24.842325,3.99343327583058E+018,4.057,0.8992,-90.963,1.821,-12.692,0.875,91.844,1.115,20.347017,18.965378,,18.767147,pm,2900,0,,,,,,,,,
193.1206,22.364279,3.95499273870953E+018,10.5245,0.2016,-20.931,0.263,-68.07,0.226,71.215,1.003,18.636808,17.176645,20.38,17.051,par+diag,2800,1,,M7.5,,,,,,,
193.89209,22.010977,3.95491030969687E+018,8.0968,0.7208,-5.607,0.664,41.556,0.62,41.933,1.069,20.025461,18.637753,,18.33922,par,2800,0,,,,,,,,,
194.24681,21.864853,3.94438505854666E+018,10.1071,0.2278,-20.319,0.315,-15.51,0.253,25.562,1.025,18.683958,17.225784,20.496,17.145,par+diag,2900,1,,,,M7,,,,,
172.61879,24.937866,3.99335582897869E+018,4.6598,0.879,-58.116,0.781,-2.75,0.83,58.181,1.214,20.104033,18.611439,,18.358177,par,2700,0,,,,,,,,,
193.78845,22.196543,3.95492964993874E+018,5.1697,0.872,-62.357,0.983,-7.923,0.752,62.858,1.028,20.367512,18.871504,22.022,18.818,par+diag,2900,1,,M7,,,,,,,
194.27495,22.336306,3.95642447035279E+018,4.9873,0.6054,-19.625,0.852,-31.238,0.634,36.891,1.11,20.052204,18.597631,,18.432062,par,2800,1,,M7,,,,,,,
194.01086,22.51372,3.95644392225971E+018,16.3148,0.2182,-70.304,0.312,-100.465,0.277,122.62,1.047,18.686577,17.181662,20.726,16.992,par+diag,2700,1,M8,M8.5,,M7.5,,,,,
193.92877,22.662724,3.95649483909682E+018,3.2937,0.8261,-42.288,1.115,7.146,0.81,42.887,1.023,20.354187,18.977774,,18.793623,pm,2900,1,,M7,,,,,,,
194.22452,22.613333,3.95646676719058E+018,4.2192,0.8161,-29.711,0.978,-32.622,1.065,44.124,1.115,20.285482,18.85449,,18.75734,par,2900,1,,M7,,,,,,,
194.18428,22.758142,3.9564730550227E+018,2.6959,1.139,-45.734,1.85,8.296,1.347,46.48,0.985,20.648262,19.259823,,19.066122,pm,2700,1,,M7.5,,,,,,,
181.29803,27.431784,4.00694266596254E+018,5.964,1.088,-116.313,1.959,-78.213,0.91,140.164,1.214,20.611858,19.104322,,18.85225,par,2900,0,,,,,,,,,
179.92793,27.79356,4.00767243244549E+018,5.2396,0.6598,-85.203,0.839,-24.953,0.825,88.782,1.03,20.43774,18.964205,,18.590225,par+pm,2800,0,,,,,,,,,
179.9579,27.815304,4.00767256988557E+018,6.2148,1.0408,-64.489,1.266,15.147,1.111,66.244,1.194,20.625349,19.256598,21.732,19.006,all,2900,0,,,,,,,,,
181.29216,27.983038,4.00702031897125E+018,7.1604,1.6207,-40.212,1.211,-35.572,1.11,53.688,1.139,20.486702,19.164104,,18.691555,pm,2800,0,,,,,,,,,
201.2008,20.78165,1.4415275701387E+018,7.3742,0.7393,-14.029,0.736,-58.927,0.486,60.574,1.052,20.434486,18.868519,,18.573647,par+pm,2700,0,,,,,,,,,
201.54724,20.860672,1.44153251794154E+018,4.2659,1.5714,-17.502,2.195,-17.586,1.726,24.811,1.008,20.893991,19.558037,,19.269041,pm,2900,0,,,,,,,,,
201.19606,21.27456,1.44230846391217E+018,7.1106,0.5085,-26.322,0.52,-99.305,0.405,102.735,1.029,20.232906,18.706478,21.972,18.484,all,2700,1,M8V,,,,,,,,
192.40065,27.342754,3.96181077165846E+018,8.6302,0.6376,-91.62,0.634,14.353,0.754,92.738,1.064,20.013748,18.5354,21.999,18.269,par+diag,2700,1,M7V,M8,,,,,,,
202.59169,20.107973,1.44120994871671E+018,5.3593,1.1737,-56.43,1.082,-41.129,0.83,69.828,1.072,20.728632,19.40481,22.018,19.098,pm+diag,2900,0,,,,,,,,,
201.7025,21.12791,1.44156086472436E+018,8.7992,0.2929,-88.622,0.327,24.47,0.23,91.938,1.058,19.04817,17.586163,,17.412,par+pm,2900,1,,,,M7,,,,,
161.6851,24.196419,7.23503974203844E+017,4.1076,0.8853,-34.53,0.976,-6.131,1.092,35.07,1.097,20.564905,19.053656,,18.889078,pm,2800,0,,,,,,,,,
161.91031,24.539007,7.23620281918769E+017,8.2704,0.9679,-55.583,0.817,-12.344,0.961,56.937,1.038,20.518574,18.90694,21.916,18.847,all,2900,0,,,,,,,,,
202.35942,20.79955,1.44148455174609E+018,6.6418,0.493,28.928,0.516,-43.915,0.246,52.587,1.077,20.025068,18.551666,21.702,18.408,all,2900,0,,,,,,,,,
175.3263,29.916595,4.02092354042643E+018,5.4137,1.217,-20.363,1.917,20.535,1.279,28.92,1.141,20.564014,19.054035,,18.753332,pm,2600,0,M7,,,,,,,,
193.29955,27.468208,3.9617305416696E+018,23.8157,0.2599,188.175,0.246,-477.179,0.308,512.942,0.962,18.931416,17.374964,21.705,17.025,par+diag,2600,1,,M9.5,,,,,,,
202.54706,20.84252,1.44157508965754E+018,9.6812,1.7985,65.594,1.768,-38.738,1.781,76.179,1.056,20.945093,19.362057,,19.251926,par+pm,2800,0,,,,,,,,,
192.89955,27.83845,3.96194264862956E+018,3.7848,1.1467,11.812,1.676,-32.988,1.138,35.038,1.092,20.78993,19.398552,,19.02554,pm,2800,1,,M7.5,,,,,,,
169.25809,28.724407,3.99886135857699E+018,15.9528,0.2231,-7.483,0.182,-44.245,0.261,44.873,1.107,18.262367,16.75392,20.194,16.536,all,2800,1,M7V,,,,,,,,
193.76682,27.510176,3.96168831355071E+018,4.7845,0.7666,-55.489,0.473,-16.881,0.675,58,1.052,19.88472,18.489101,21.654,18.317,par+diag,2900,1,,M7,,,,,,,
172.81021,29.763163,4.02240884319502E+018,5.7544,0.5556,-37.237,0.447,-13.744,0.536,39.693,1.069,19.872381,18.434622,,18.205734,par+pm,2900,1,M7V,,,,,,,,
168.39574,28.475027,3.9989567755702E+018,18.0265,0.1533,99.281,0.135,-161.735,0.17,189.776,1.113,17.572662,16.114565,19.355,15.983,all,2900,1,,,,M7,,,,,
168.65962,28.605637,3.99896158593411E+018,11.7702,0.4266,-41.315,0.36,-31.175,0.427,51.757,1.7,18.8512,17.184822,20.652,16.972,all,2800,1,M7V,,,,,,,,
173.95035,30.09511,4.02248120480479E+018,7.3884,0.9893,5.561,0.922,3.659,1.247,6.657,1.162,20.587872,19.04755,,18.60252,par,2600,1,M9V,,,,,,,,
172.23668,29.828083,4.02259043870719E+018,9.1768,0.4087,-76.894,0.353,2.345,0.302,76.93,1.053,19.3424,17.857105,21.251,17.579,all,2800,1,M7V,,,,,,,,
173.0475,30.040165,4.02251247216707E+018,6.063,1.4343,-96.015,1.333,5.239,0.971,96.158,1.134,20.64393,19.12036,,18.694004,pm,2600,0,,,,,,,,,
169.62624,29.158163,4.02292833237401E+018,6.5984,0.3995,-127.585,0.367,-82.791,0.337,152.092,1.064,19.62851,18.175497,21.293,17.981,all,2800,1,M7V,,,,,,,,
168.35922,28.743631,3.99897818168751E+018,5.4736,0.5255,-26.903,0.572,-90.368,0.639,94.288,1.048,19.97256,18.564806,21.463,18.437,all,2900,1,M7V,,,,,,,,
194.63324,27.44768,1.46068501835873E+018,6.0663,0.6123,-20.875,0.62,-79.903,0.678,82.585,1.05,19.906178,18.36441,,18.293056,par,2700,1,M8,M8,,,,,,,
193.20474,28.143536,1.46396898042283E+018,14.7962,0.1137,51.256,0.101,-107.851,0.126,119.411,0.912,17.508282,16.134567,19.058,16.042,par+diag,2900,0,,,,,,,,,
172.89122,30.151905,4.02270447438461E+018,7.7553,1.5418,-44.373,1.73,-1.039,1.963,44.385,0.961,20.804157,19.458612,21.993,19.043,par+diag,2900,0,,,,,,,,,
161.45604,25.180685,7.2388757061797E+017,10.5819,0.3671,-197.394,0.347,21.002,0.5,198.508,1.095,18.737913,17.263775,20.597,17.108,all,2900,0,,,,,,,,,
169.80028,29.344114,4.02293722725163E+018,5.8403,0.5923,-1.365,0.465,39.102,0.518,39.126,1.105,20.182678,18.731277,,18.472713,par,2900,1,M7V,,,,,,,,
194.41951,27.649477,1.46370516634729E+018,6.9633,0.5724,-25.18,0.589,-13.919,0.67,28.771,1.064,20.041903,18.605963,,18.609453,par,2900,1,,M7,,,,,,,
174.97452,30.694109,4.02401371785431E+018,5.6313,0.5257,-55.165,0.531,-2.604,0.581,55.227,1.012,19.626757,18.17214,21.222,17.927,par+diag,2900,0,,,,,,,,,
161.44417,25.376091,7.23911927377503E+017,4.1086,1.2626,-46.547,1.247,32.752,1.662,56.915,0.994,20.571245,19.1729,,19.014664,pm,2900,0,,,,,,,,,
168.93285,29.263767,3.99911036360094E+018,8.0928,0.4739,19.527,0.469,10.407,0.387,22.127,0.989,19.702156,18.223515,21.519,17.987,all,2800,0,,,,,,,,,
161.37465,25.443977,7.23913301767301E+017,14.279,1.0044,14.418,0.965,-96.44,1.154,97.511,1.114,20.280228,18.71735,,18.374557,par+pm,2500,1,M9V,,,,,,,,
161.40724,25.47929,7.23913473565994E+017,6.1212,0.7805,7.256,0.701,-2.275,0.915,7.604,1.031,20.191069,18.776377,,18.538744,par,2800,1,M8V,,,,,,,,
168.89183,29.356737,3.99911544884222E+018,3.1355,0.8391,-22.831,0.672,-9.186,0.79,24.61,1.118,20.11758,18.590971,21.565,18.471,pm+diag,2900,0,,,,,,,,,
194.79941,27.93734,1.46080791884841E+018,6.3329,0.461,4.279,0.379,18.749,0.449,19.231,1.018,19.581614,18.13817,21.259,18.189,par+diag,2900,1,,M7,,,,,,,
169.06271,29.571312,3.99912520700834E+018,3.5428,0.9482,-97.655,1.009,-43.039,1.755,106.719,1.098,20.661335,19.10948,,18.904377,pm,2700,0,,,,,,,,,
194.64876,28.045792,1.46372125099956E+018,10.8178,0.7562,-70.055,0.648,-133.567,0.753,150.824,1.096,20.081161,18.536074,,18.480873,par,2600,1,M8,M8.5,,M8,,,,,
